"internal_id","hierarchical_label"
"IT:ASVe:8000.001.001.001","Strumenti di corredo, sec. XIX - sec. XX >> ? >> Fondi inventariati, sec. XIX - sec. XX >> Sala studio, sec. XIX - sec. XX"
"IT:ASVe:8000.001.001.002","Strumenti di corredo, sec. XIX - sec. XX >> ? >> Fondi inventariati, sec. XIX - sec. XX >> Originali, sec. XIX - sec. XX"
"IT:ASVe:8000.001.001.003","Strumenti di corredo, sec. XIX - sec. XX >> ? >> Fondi inventariati, sec. XIX - sec. XX >> Matrici, sec. XIX - sec. XX"
"IT:ASVe:8000.001.002","Strumenti di corredo, sec. XIX - sec. XX >> ? >> Inventari delle Corporazioni religiose soppresse, sec. XIX - sec. XX"
"IT:ASVe:8000.001.002.001","Strumenti di corredo, sec. XIX - sec. XX >> ? >> Inventari delle Corporazioni religiose soppresse, sec. XIX - sec. XX >> Sala studio, sec. XIX - sec. XX"
"IT:ASVe:8000.001.002.002","Strumenti di corredo, sec. XIX - sec. XX >> ? >> Inventari delle Corporazioni religiose soppresse, sec. XIX - sec. XX >> Matrici, sec. XIX - sec. XX"
"IT:ASVe:8000.001.003.001.001","Strumenti di corredo, sec. XIX - sec. XX >> ? >> ? >> Sala studio, sec. XIX - sec. XX >> Prima serie, sec. XIX - sec. XX"
"IT:ASVe:8000.001.003.001.002","Strumenti di corredo, sec. XIX - sec. XX >> ? >> ? >> Sala studio, sec. XIX - sec. XX >> Seconda serie, sec. XIX - sec. XX"
"IT:ASVe:8000.001.003.001.003","Strumenti di corredo, sec. XIX - sec. XX >> ? >> ? >> Sala studio, sec. XIX - sec. XX >> Notarile di Noale, sec. XIX - sec. XX"
"IT:ASVe:8000.001.004","Strumenti di corredo, sec. XIX - sec. XX >> ? >> Biblioteca legislativa, sec. XIX - sec. XX"
"IT:ASVe:8000.001.005","Strumenti di corredo, sec. XIX - sec. XX >> ? >> Inventari a stampa, sec. XX"
"IT:ASVe:8000.001.006","Strumenti di corredo, sec. XIX - sec. XX >> ? >> Strumenti di corredo. Progetto Anagrafe, sec. XX"
"IT:ASVe:8000.001.007","Strumenti di corredo, sec. XIX - sec. XX >> ? >> Guide, guide tematiche e repertori generali, sec. XIX - sec. XX"
"IT:ASVe:8000.001.008","Strumenti di corredo, sec. XIX - sec. XX >> ? >> Schedari, sec. XIX - sec. XX"
"IT:ASVe:8000.001.008.001","Strumenti di corredo, sec. XIX - sec. XX >> ? >> Schedari, sec. XIX - sec. XX >> Avogaria di Comun, sec. XIX - sec. XX"
"IT:ASVe:8000.001.008.002","Strumenti di corredo, sec. XIX - sec. XX >> ? >> Schedari, sec. XIX - sec. XX >> Testamenti, sec. XIX - sec. XX"
